"Energy","Water","Protein","Fats","Sugars","Starch","Alcohol","Fibre","Group"
"Ginger stem in syrup tinned",288,26.7,1.8,0,67,2,0,2.5,"Sweets"
"Coloured sprinkles fruit-flavoured",393,0.6,0.1,0,98.2,0,0,0,"Sweets"
"Honey",321,17.6,0.3,0,80,0,0,0,"Sweets"
"Spread chocolate dark",575,0.6,3,38.6,50,1.4,0,4.1,"Sweets"
"Jam",248,37.2,0.3,0.1,51.2,9.6,0,1.2,"Sweets"
"Chewing gum",280,4,0,0,70,0,0,0,"Sweets"
"Chewing gum wo sugar",171,3,0.1,0.6,0,0.9,0,2.4,"Sweets"
"Coconut bread sweetened sliced",426,13.9,3.2,18.6,41.4,17.3,0,5.6,"Sweets"
"Sweets boiled",380,5,0,0,71,24,0,0,"Sweets"
"Peppermint",395,1.2,0.6,0,98.2,0,0,0,"Sweets"
"Jam rose hip w vit C",260,35,1.8,0.3,62,0,0,1,"Sweets"
"Toffees",401,7.5,0.6,6.2,65.2,20.4,0,0.1,"Sweets"
"Spread sweet averaged",393,14.9,2.7,12.4,60.4,5.9,0,2.7,"Sweets"
"Sweets marshmallow type Spekkie",334,15,4.1,0.4,68.2,10.1,0,0.3,"Sweets"
"Fruit spread reduced sugar",118,69.9,0.5,0.2,27.4,0.4,0,1.7,"Sweets"
"Candybar Mars",449,7.3,4.1,16.6,61.7,8.5,0,1.3,"Sweets"
"Liquorice Dutch type salted",330,15.2,12.2,0.2,44.2,23.9,0,3.1,"Sweets"
"Liquorice Dutch type double salted",330,15.2,12.2,0.2,44.2,23.9,0,3.1,"Sweets"
"Liquorice Dutch type sweet",333,15.4,7.3,0.4,51.5,23.1,0,1,"Sweets"
"Liquorice Stophoest",396,1,0.6,0,91.4,7,0,0,"Sweets"
"M&M's chocolate",487,0.8,4.6,20.7,66.4,2.2,0,2.7,"Sweets"
"Candybar Milky Way",448,7.6,4,15.9,65.1,6.8,0,0.6,"Sweets"
"Candybar Bounty",486,8.6,3.7,26.1,48,10.3,0,1.5,"Sweets"
"Candybar Snickers",484,6.9,8.7,22.9,51.6,8.6,0,1.3,"Sweets"
"Sauce fruit for pudding",189,52.6,0.3,0.1,37,9.3,0,0.7,"Sweets"
"Sauce chocolate for pudding",269,34.8,2.1,1.9,48.3,12.5,0,0.5,"Sweets"
"Candybar Nuts",497,7,4.6,24.8,55.2,7.1,0,3.3,"Sweets"
"Chocolate milk w hazelnuts",562,0.7,7.7,35.9,46.9,3.3,0,3.7,"Sweets"
"Chocolate w liqueur",383,22.7,3.3,16.6,46.8,2.5,2.3,3.6,"Sweets"
"Marshmallows",329,17.8,4.6,0.1,63.1,14.2,0,0.2,"Sweets"
"Liquorice allsorts",394,5.5,3.7,5.2,65,17,0,2,"Sweets"
"Wine gum/ fruit gum",319,12.6,5,0.2,49.2,25,0,0.2,"Sweets"
"Fruit spread w sweetener",156,37.2,0.4,0.2,5.4,0,0,1.2,"Sweets"
"Candybar Twix",495,5.5,4.5,23.9,48.6,16,0,1.5,"Sweets"
"Sweets fruit pectinbased",341,14.6,0.3,0.3,62.8,21.4,0,0.7,"Sweets"
"Chocolate milk sugar-free",485,1.4,7.1,34.7,9,1.2,0,6.7,"Sweets"
"Preparation glucose powder",364,9,0,0,91,0,0,0,"Sweets"
"Marzipan",420,13,5.3,15.3,60.8,3.4,0,2.2,"Sweets"
"Chocolate sprinkles averaged",450,2.5,5.5,15.2,63,6.6,0,5.2,"Sweets"
"Turkish Delight",372,6.8,0,0,69,23,0,0.3,"Sweets"
"Liquorice Dutch type av",332,15.3,8.8,0.4,49.4,23.3,0,1.6,"Sweets"
"Chocolate dark sugar-free",454,1.2,5.3,33,0.7,2.8,0,14.7,"Sweets"
"Chocolate milk w hazelnuts wo sugar",498,0.7,8.9,35.4,9.6,0.5,0,8,"Sweets"
"Ice lolly",75,81.4,0.2,0.2,17,1,0,0.2,"Sweets"
"Fondant cream",346,17.1,0.7,3.1,79,0,0,0,"Sweets"
"Chocolates filled/Belgium chocolate",512,8.7,5.5,30.7,50.1,1.7,0,3.3,"Sweets"
"Fructose powder",396,0,0,0,99,0,0,0,"Sweets"
"Syrup barley malt",283,24.2,4.4,0,53.3,13.1,0,0,"Sweets"
"Syrup corn",287,22.7,2.3,0,53.8,15.6,0,0,"Sweets"
"Syrup rice malt",292,16.4,0.3,0,44.5,28.1,0,0,"Sweets"
"Chocolate sprinkles milk",455,2.3,6.3,15.6,64.7,5.6,0,3.7,"Sweets"
"Chocolate sprinkles dark",446,2.2,5.8,15.3,60.5,6.9,0,6.6,"Sweets"
"Spread chocolate milk",570,0.7,2.4,35,61,0,0,0.5,"Sweets"
"Ice lolly Festini",100,74.8,0.2,0.2,20,4,0,0.8,"Sweets"
"Chocolate white",552,1,6.4,32.6,58.1,0,0,0,"Sweets"
"Candy sugar-free",240,7.6,1.1,2.1,0.2,1.7,0,0,"Sweets"
"Raisins coated w milkchocolate",429,9.1,5,17.3,59,2.8,0,3.2,"Sweets"
"After eight chocolate mints",419,9.2,2.1,12.2,72.1,2.5,0,1,"Sweets"
"Chocolate milk w raisins",501,4.5,6.2,27.4,53,2.9,0,3,"Sweets"
"Chocolate dark w hazelnuts",565,2,9,41,32.4,3.8,0,7.6,"Sweets"
"Chocolate milk w puffed rice",531,1.7,7.1,30.7,43.8,11.5,0,2.9,"Sweets"
"Toffee w chocolate",427,6.2,1.8,11.7,60.5,17.3,0,1.5,"Sweets"
"Nougat w chocolate",489,1.8,7.2,21.8,62.4,1.9,0,3.3,"Sweets"
"Liquorice w peppermint",375,5.9,2.8,0.1,82.8,7.6,0,0.3,"Sweets"
"Salty liquorice lolly",375,6,1.2,0,68.3,24,0,0.3,"Sweets"
"Nougat",469,1.7,6.5,16.7,71.1,1,0,2.1,"Sweets"
"Chocolate sprinkles white",455,2.8,5.5,13.2,78.4,0,0,0,"Sweets"
"Spice biscuit sprinkles Bolletje",486,2,5,20,30.1,39.9,0,3,"Sweets"
"Spread speculaas flavoured",579,1.8,3.2,37.5,34.2,22.4,0,1,"Sweets"
"Maltesers",500,4.7,8.3,24.3,51.9,9.6,0,1.2,"Sweets"
"Chocolate flakes av",451,1,5.6,15.2,68.2,2.3,0,4.5,"Sweets"
"Liquorice sugar-free",167,15.4,1,0.2,0.1,7.9,0,1,"Sweets"
"Wine gum w liquorice",334,16.6,3.5,0.2,55.1,24.5,0,0,"Sweets"
"Candybar KitKat",520,1.5,7.1,27.7,48.6,10.4,0,3,"Sweets"
"Chocolate sprinkles mix white and dark",449,3.9,3.2,14.7,65.9,8,0,4.3,"Sweets"
"Spread duo w chocolate",576,0.9,1.8,36.5,57.4,2.1,0,1.3,"Sweets"
"Spread duo wo chocolate",567,1.8,0.8,34.9,62.2,0.3,0,0.1,"Sweets"
"Sweets jelly/gums/foam",336,16.3,4.9,0.2,49.2,29.3,0,0.1,"Sweets"
"Wine gums w foam layer",333,16.7,4.8,0,63.5,15,0,0,"Sweets"
"Sweet fruity chew",395,9.4,1,6.6,56.8,26.2,0,0.1,"Sweets"
"Sugar light",395,1.2,0,0,98.9,0,0,0,"Sweets"
"Meringue",382,4.4,0.5,0,95,0,0,0,"Sweets"
"Chocolate bar filled Kinder",567,0.2,8.9,35.7,47.5,4.6,0,1.3,"Sweets"
"Candybar Lion",493,4.8,5.5,22.9,53.1,12.4,0,1.3,"Sweets"
"Sauce caramel for pudding",302,29.5,2.7,3.9,56.7,7.2,0,0,"Sweets"
"Cane sugar",400,0,0.5,0,99.5,0,0,0,"Sweets"
"Chocolate spread white",592,1.8,4.6,40,53,0,0,0.6,"Sweets"
"Syrup maple",269,32,0,0.1,60.7,6.5,0,0,"Sweets"
"Syrup apple enriched w iron",287,25.7,1.6,0,55.8,11.8,0,5.2,"Sweets"
"Sweets cream hard",414,7.8,0.5,8.6,83.9,0,0,0.1,"Sweets"
"Golden syrup pourable",288,28,0,0,72,0,0,0,"Sweets"
"Fudge/caramel soft",435,11,1.9,16,63.8,7,0,0.3,"Sweets"
"Aniseed comfits crushed/pink&white/blue&white",402,1.4,2,2.4,79,13,0,2.2,"Sweets"
"Chocolate flakes mix white and dark",450,3.7,3.2,14.4,71.8,3.4,0,3.5,"Sweets"
"Mentos cheewy dragee",387,5.6,0,1.9,69,23.5,0,0,"Sweets"
"Chocolate sprinkles extra dark",424,11.7,7.8,18.3,49.7,4,0,6.6,"Sweets"
"Marmalade",260,34.8,0.3,0.2,59.6,4.3,0,0.8,"Sweets"
"Chocolate flakes white",458,3.1,5.9,14,77,0,0,0,"Sweets"
"Syrup ginger",215,46.1,0,0.4,50.7,1.5,0,1.2,"Sweets"
"Solid foamed candy 'schuimpje'",366,8.6,2.1,0.1,76.8,12.4,0,0,"Sweets"
"Syrup apple-pear",253,33.1,1.1,0,52.5,7.8,0,3.8,"Sweets"
"Sorbet",126,68.1,0.2,0.1,28.7,2.1,0,0.9,"Sweets"
"Liquorice Dutch type sweet w foam",334,15.8,6.1,0.3,50.4,26.2,0,0.6,"Sweets"
"Frogs/mice fondant w chocolate",393,7.8,1,5.3,77.5,7.2,0,0.9,"Sweets"
"Sugar powdered",396,0,0,0,99,0,0,0,"Sweets"
"Chocolate filled w caramel Rolo",477,4.7,4.4,20.4,58.7,9.7,0,1.2,"Sweets"
"Icing (sugar)",354,10.7,0,0,88.4,0,0,0,"Sweets"
"Chocolate extra dark",578,4.8,9.2,45.4,22.4,4.8,0,11.8,"Sweets"
"Chocolate sprinkles mix white and milk",452,2.3,5.8,14.1,70.6,3.7,0,2.4,"Sweets"
"Chocolate flakes mix white and milk",456,2.1,5.9,14.5,73.5,1,0,1.8,"Sweets"
"Candybar av",484,6.2,5.3,22.6,54,10,0,1.7,"Sweets"
"Chocolate filled w peanuts",582,1.8,15.8,42.6,25.5,5.4,0,5.9,"Sweets"
"Candy mix",328,14.5,5.8,0.3,52.2,23.1,0,0.5,"Sweets"
"Fruit spread",162,58.4,0.5,0.1,38,0,0,1.8,"Sweets"
"Endive raw",16,95.1,1.5,0.3,1,0,0,1.7,"Vegetables"
"Endive boiled",22,93.5,1.4,0.5,1.6,0.7,0,1.7,"Vegetables"
"Asparagus white raw",19,94,1,0,1,2,0,1.7,"Vegetables"
"Aubergine/eggplant raw",20,93,1,0,3,0,0,2,"Vegetables"
"Aubergine/eggplant boiled",21,93,1,0,3,0,0,2.5,"Vegetables"
"Beetroot raw",38,89,1.7,0.1,6,0,0,2.9,"Vegetables"
"Celery boiled",14,92,1,0,1,1,0,1.1,"Vegetables"
"Cauliflower raw",25,91.8,1.9,0.2,2.4,0.6,0,2.2,"Vegetables"
"Cauliflower boiled",22,93.4,1.8,0.4,1.2,0.6,0,2.3,"Vegetables"
"Kale curly boiled",33,88.4,2.7,1.3,0.9,0.1,0,3.5,"Vegetables"
"Mushrooms chanterelle raw",16,90,1.8,0,0,1,0,2.5,"Vegetables"
"Mushrooms chanterelle boiled",20,90,1.8,0,0,2,0,2.5,"Vegetables"
"Mushroom raw",18,94.4,2.3,0.5,0.2,0.2,0,1.5,"Vegetables"
"Mushroom boiled",21,90,3.8,0.3,0.2,0.2,0,1.1,"Vegetables"
"Cabbage Chinese raw",17,94.5,1,0,0,2,0,2.5,"Vegetables"
"Cabbage Chinese boiled",17,94.5,1,0,0,2,0,2.5,"Vegetables"
"Peas raw",65,82,4,0,1,9,0,4.7,"Vegetables"
"Cabbage green raw",36,89.2,2.4,0.2,4.1,0,0,4.1,"Vegetables"
"Cabbage green boiled",21,93.8,1.5,0.2,2.3,0,0,2.2,"Vegetables"
"Celeriac boiled",38,88,2,0,0,5,0,4.9,"Vegetables"
"Cucumber wo skin raw",15,96.1,0.6,0.2,1.7,0.8,0,0.3,"Vegetables"
"Cucumber boiled",17,97,1,0,3,0,0,0.3,"Vegetables"
"Swede boiled",33,90.4,0.7,0.1,5.7,0.1,0,3,"Vegetables"
"Kohlrabi boiled",31,90,2,0.3,0,4,0,2,"Vegetables"
"Sweet pepper green raw",19,94.6,0.8,0.1,2.5,0,0,2.5,"Vegetables"
"Sweet pepper green boiled",17,94.5,0.6,0.2,2,0.3,0,2.2,"Vegetables"
"Mange-tout raw",33,89,2,0,0,5,0,2.5,"Vegetables"
"Purslane boiled",13,95,1,0,1,0,0,2.5,"Vegetables"
"Leek boiled",22,93.8,1.1,0.5,1.5,0.6,0,2.3,"Vegetables"
"Turnip tops raw",17,94,2,0,0,1,0,2.3,"Vegetables"
"Turnip tops boiled",17,94,2,0,0,1,0,2.3,"Vegetables"
"Rhubarb raw",23,93,1,0,2,0,0,1.8,"Vegetables"
"Cabbage red raw",27,91,2,0,3,0,0,3.6,"Vegetables"
"Cabbage red boiled",23,89.8,1.3,0,3,0,0,2.9,"Vegetables"
"Salsify raw",76,78,1,1,15,0,0,1.7,"Vegetables"
"Lettuce butterhead raw",13,96.1,1.4,0.4,0.3,0,0,1.2,"Vegetables"
"Lettuce butterhead boiled",22,94,2,0.4,2,0,0,1.2,"Vegetables"
"Swiss chard leaf boiled",29,93,3,0,3,0,0,2.5,"Vegetables"
"Beans runner raw",22,92.7,1.9,0.1,0.7,1.3,0,2.7,"Vegetables"
"Beans French raw",25,91.4,2.3,0.2,1.2,0.6,0,3.6,"Vegetables"
"Spinach raw",26,91.9,3.2,0.6,0,0.9,0,2,"Vegetables"
"Spinach boiled",25,92.2,2.9,0.9,0,0.7,0,1.4,"Vegetables"
"Cabbage oxheart raw",42,90,3,1,4,0,0,2.5,"Vegetables"
"Cabbage oxheart boiled",21,93.8,1.1,0.6,1.6,0,0,2.5,"Vegetables"
"Brussel sprouts boiled",47,86,2.3,0.7,1.4,4.2,0,4.5,"Vegetables"
"Sweetcorn boiled",74,82,2.5,1.4,8.1,3.5,0,2.5,"Vegetables"
"Bean sprouts raw",25,93,2.2,0.1,1.8,1.4,0,1.2,"Vegetables"
"Bean sprouts boiled",17,95,1.8,0.1,1.1,0.6,0,1.2,"Vegetables"
"Tomatoes classic round raw",20,95.4,0.7,0.4,2.9,0,0,1.3,"Vegetables"
"Tomatoes classic round boiled",23,94.1,0.7,0.7,2.8,0.1,0,1.3,"Vegetables"
"Beans broad raw",51,85,5,0,0,4,0,7.3,"Vegetables"
"Onions raw",37,89.1,1.3,0.2,4.5,1.8,0,2.7,"Vegetables"
"Onions boiled",35,90,1,0.2,3,3.3,0,2.2,"Vegetables"
"Lettuce lambs raw",18,93.8,2.6,0.2,0,0.4,0,1.7,"Vegetables"
"Chicory raw",19,95.2,1.3,0.2,2.4,0,0,1.2,"Vegetables"
"Chicory boiled",16,95.3,1.2,0.2,2.1,0,0,1.1,"Vegetables"
"Cabbage white raw",30,91,2,0,4,0,0,2.8,"Vegetables"
"Cabbage white cooked",16,94.1,0.9,0,1.8,0,0,2.8,"Vegetables"
"Carrot raw av",33,90,0.7,0.3,3.9,1.4,0,2.9,"Vegetables"
"Carrot boiled av",32,90.4,0.7,0.3,4.9,0.4,0,2.9,"Vegetables"
"Cabbage sauerkraut raw",13,91.5,1.1,0,0,0.6,0,3.2,"Vegetables"
"Cabbage sauerkraut cooked",14,92.7,0.9,0,0,1,0,3.2,"Vegetables"
"Vegetable mix for soup raw",33,89.7,1.4,0.2,3,1.6,0,3.2,"Vegetables"
"Radish raw",22,95,1,0,3,1,0,0.9,"Vegetables"
"Radish black raw",30,91,2,0,1,4,0,1,"Vegetables"
"Cress garden raw",15,93,2,0,0,0,0,3.3,"Vegetables"
"Vegetables mixture raw av",18,95,0.9,0.4,2,0.2,0,1.2,"Vegetables"
"Asparagus white tinned",17,95.7,1.4,0.3,1.8,0.1,0,1.2,"Vegetables"
"Gherkins sour pickled",10,92.7,1,0,1,0,0,0.9,"Vegetables"
"Gherkins sweet pickled",27,92.7,0.8,0,5.2,0.1,0,0.9,"Vegetables"
"Mushroom tinned",19,95,2.2,0.4,0,0.5,0,2.3,"Vegetables"
"Peas medium fine tinned",94,76,5,1,1,13,0,4.5,"Vegetables"
"Peas super fine tinned",78,76.9,5.6,0.8,3.2,6.7,0,4.5,"Vegetables"
"Peas and carrots tinned",56,85.8,3.4,0.5,3.2,3.7,0,4.8,"Vegetables"
"Beans runner tinned",20,93,1.1,0.3,0.4,1.9,0,2.1,"Vegetables"
"Beans French tinned",26,91.4,1.6,0.3,0.8,2.2,0,2.6,"Vegetables"
"Spinach tinned",31,91.7,3.2,0.9,0.7,0.6,0,3,"Vegetables"
"Tomato puree concentrated tinned",87,73,4.5,0,12.9,2.6,0,3.7,"Vegetables"
"Beans broad tinned",73,84.1,5.8,0.6,2.2,6.4,0,5.3,"Vegetables"
"Carrot tinned",29,93,0.7,0.2,3.8,1.6,0,1.8,"Vegetables"
"Silver-skin onion sweet pickled glass",34,91,0.6,0.1,4.8,2.1,0,1.4,"Vegetables"
"Cabbage red glass",40,86.1,0.8,0.2,7.5,0.4,0,2,"Vegetables"
"Spinach frozen boiled",24,92,2.3,0.4,0.9,0.8,0,2.4,"Vegetables"
"Rhubarb puree w sugar",82,80,0.5,0,19,0,0,2,"Vegetables"
"Celery raw",14,92,1,0,1,1,0,1.1,"Vegetables"
"Celeriac raw",38,88,2,0,0,5,0,4.9,"Vegetables"
"Swede raw",30,91.2,0.7,0.1,4.9,0.1,0,3,"Vegetables"
"Kohlrabi raw",31,91.3,0.9,0.3,4.5,0.2,0,2.8,"Vegetables"
"Purslane raw",13,95,1,0,1,0,0,2.5,"Vegetables"
"Leek raw",28,91.2,1.5,0.2,3,0.5,0,3,"Vegetables"
"Swiss chard leaf raw",29,93,3,0,3,0,0,2.5,"Vegetables"
"Brussel sprouts raw",46,86,2.3,0.7,1.4,4.2,0,4.1,"Vegetables"
"Cabbage red w apple pieces frozen boiled",57,85.9,1.1,1,8.8,1.1,0,2.2,"Vegetables"
"Spinach creamed frozen boiled",44,89.7,2.9,3,0.2,0.6,0,1.3,"Vegetables"
"Black nightshade raw",60,85,5,1,3,4,0,1.4,"Vegetables"
"Mustard leaves raw",32,90.8,2.5,0.3,0.7,2.5,0,3.2,"Vegetables"
"Antroewa raw",30,92,1,0,2,4,0,1.2,"Vegetables"
"Dagoe leaf raw",34,90,3,0,0,5,0,1.1,"Vegetables"
"Kaisoi raw",32,91,3,0,5,0,0,0.1,"Vegetables"
"Amaranth leaves raw",56,86,4,1,3,4,0,1.5,"Vegetables"
"Beans long yard Kousenband raw",43,89,3,0,0,7,0,1.3,"Vegetables"
"Okra raw",23,89.6,1.9,0.2,1.5,0.3,0,3.2,"Vegetables"
"Bottlegourd poeng",31,92,1,0,2,4,0,1.5,"Vegetables"
"Pumpkin raw",14,95,0.7,0.2,1.7,0.3,0,1,"Vegetables"
"Bitter gourd pods raw",15,94,1,0.2,0.8,0.1,0,2.8,"Vegetables"
"Tannia leaves raw",19,90,2,0,1,1,0,1.4,"Vegetables"
"Garlic raw",158,58.6,6.4,0.5,1,30,0,2.1,"Vegetables"
"Fennel raw",17,94,1,0,2,0,0,2.4,"Vegetables"
"Vegetables mixed pickled Atjar tjampoer glass",42,87.6,1,0.2,7,0.6,0,2.4,"Vegetables"
"Sweet pepper pickled glass",16,95.3,0.9,0.1,2,0,0,1.7,"Vegetables"
"Sweet pepper red raw",25,91.6,0.8,0.1,4.3,0,0,1.8,"Vegetables"
"Sweet pepper red boiled",28,91.9,0.9,0.1,4.2,0.9,0,1.7,"Vegetables"
"Broccoli boiled",27,91.4,3.9,0.3,0,0.8,0,2.7,"Vegetables"
"Broccoli raw",27,92.1,2.9,0.7,0.5,0.2,0,3.1,"Vegetables"
"Courgettes raw",18,95.6,1.3,0.2,2.3,0,0,0.9,"Vegetables"
"Beans French boiled",25,92.1,1.8,0.4,1.2,1,0,2.9,"Vegetables"
"Kale curly frozen boiled",37,87.9,2,1.6,0,2.5,0,2.5,"Vegetables"
"Peas frozen boiled",92,74.3,6,0,1,13.9,0,4.5,"Vegetables"
"Beans French frozen boiled",34,90,1.8,0.1,1.2,4.2,0,2.1,"Vegetables"
"Asparagus white boiled",18,94,1,0,1,2,0,1.2,"Vegetables"
"Beetroot boiled",30,88.5,1.2,0.1,4.6,0,0,2.9,"Vegetables"
"Kale curly raw",33,88.4,3,0.6,0.4,1.2,0,4.7,"Vegetables"
"Salsify boiled",84,75,1,1,17,0,0,1.7,"Vegetables"
"Beans runner boiled",23,92.3,1.8,0,0,1.9,0,4.2,"Vegetables"
"Beans broad boiled",45,85,5,0,0,4,0,4.7,"Vegetables"
"Peas fresh boiled",69,82,4,0,1,10,0,4.5,"Vegetables"
"Mange-tout boiled",33,89,2,0,0,5,0,2.5,"Vegetables"
"Courgettes boiled",19,94.3,1.5,0.1,2.3,0,0,1.1,"Vegetables"
"Fennel boiled",17,94,1,0,2,0,0,2.4,"Vegetables"
"Artichoke raw",49,82,2,0,9.5,0,0,1.5,"Vegetables"
"Dandelion leaves raw",55,85,3,1,8,0,0,1.2,"Vegetables"
"Peas extra fine low sodium tinned",51,80.1,4,0,3,3.5,0,4.7,"Vegetables"
"Mushroom low sodium tinned",18,94.5,2.1,0.4,0.1,0.1,0,2.8,"Vegetables"
"Endive frozen unprepared",9,95.1,1,0,0,0.3,0,1.7,"Vegetables"
"Peas and carrots frozen unprepared",58,86,3.8,0.4,2.2,4.9,0,5.2,"Vegetables"
"Vegetable mix for pea soup frozen unprep",17,95,2,0,1,0,0,2.6,"Vegetables"
"Vegetable mixed Mexico frozen unprepared",85,77,4.5,0.9,2,10,0,5.3,"Vegetables"
"Beans runner frozen unprepared",28,91.8,1.9,0.1,1.3,2.3,0,2.7,"Vegetables"
"Vegetables mixture for soup frozen unprepared",25,93,2,0,2,1,0,2.6,"Vegetables"
"Spinach cut frozen unprepared",20,94,2.3,0.3,0.4,0.8,0,2.1,"Vegetables"
"Brussel sprouts frozen boiled",47,86,2.3,0.7,1.4,4.2,0,4.5,"Vegetables"
"Beans broad frozen unprepared",87,75.3,7.5,0.6,1,8.3,0,7.3,"Vegetables"
"Gherkins sweet pickled low sodium",17,94,1.1,0,2.8,0,0,0.9,"Vegetables"
"Onion silver-skin sweet pickled low sodium glass",21,91,1,0,2,1,0,2.7,"Vegetables"
"Onion silverskin sweet pickled wo sugar glass",21,93.3,1,0,0,3,0,2.7,"Vegetables"
"Gherkins pickled wo sugar",14,96.3,1.2,0.3,0.9,0.2,0,1.2,"Vegetables"
"Cucumber sliced pickled glass",9,96.1,0.7,0,1,0,0,0.9,"Vegetables"
"Bamboo shoots tinned",33,91,2,0,0,6,0,0.5,"Vegetables"
"Infant food vegetables 4 months",50,86.5,1.3,0.2,5.9,3.9,0,2.3,"Vegetables"
"Grape leaves glass",33,88.6,3.3,0,1.8,0,0,6.3,"Vegetables"
"Vegetables pickled Turkish Tursu",24,92.6,0.6,0,3.9,0,0,2.9,"Vegetables"
"Onions fried in vegetable oil",58,85.4,1.3,3,5.4,0,0,2.2,"Vegetables"
"Mushroom fried in vegetable oil w salt",54,87.9,2.6,4.1,0,0.5,0,2.3,"Vegetables"
"Tomatoes stewed w vegetable oil",59,91.7,0.9,5.1,1.9,0,0,1.3,"Vegetables"
"Kale curly glass",25,90.1,2.4,0.6,0.2,0.7,0,3,"Vegetables"
"Lettuce iceberg raw",14,96.1,1,0.2,1.4,0,0,1.2,"Vegetables"
"Beetroot pickled glass",37,88.5,0.5,0.1,6.6,1.1,0,1.8,"Vegetables"
"Beans long yard Kousenband boiled",29,90.7,2.7,0.2,2.4,0.1,0,3.5,"Vegetables"
"Cabbage pak-choi raw",14,95.4,1,0.2,1.4,0,0,1.2,"Vegetables"
"Seaweed kelp raw",47,81.6,1.7,0.6,0.6,7.7,0,1.3,"Vegetables"
"Seaweed agar agar dried",336,8.7,6.2,0.3,3,70.2,0,7.7,"Vegetables"
"Vegetables av boiled",30,91,1.8,0.4,2,1.4,0,2.4,"Vegetables"
"Vegetables av raw",20,94.5,1,0.4,2.2,0.3,0,1.3,"Vegetables"
"Pumpkin boiled",14,94.9,0.6,0.3,1.7,0.1,0,1.1,"Vegetables"
"Tomatoes tinned",24,94.1,1.1,0.4,3.6,0.1,0,0.7,"Vegetables"
"Tannia leaves prepared wo fat",38,88,4.6,1.1,0,0.9,0,3.4,"Vegetables"
"Bami vegetables boiled",19,94.3,1.2,0.2,1.6,0.4,0,2.1,"Vegetables"
"Lettuce av raw",15,95.6,1.4,0.3,0.9,0.1,0,1.3,"Vegetables"
"Tomatoes dried in oil tin/glass, drained",197,64.2,4.4,14,6.3,3.1,0,8,"Vegetables"
"Tomato sun-dried",331,14.6,14.1,3,37.6,18.2,0,12.3,"Vegetables"
"Capers",43,83.9,2.4,0.9,0.4,4.5,0,3.2,"Vegetables"
"Tomato sieved pack",39,89.4,1.8,0.3,6,0.3,0,2,"Vegetables"
"Chili pepper raw",30,91.9,1.8,0.3,4.2,0,0,1.8,"Vegetables"
"Lettuce red raw",18,95.6,1.3,0.2,0.5,1.8,0,0.9,"Vegetables"
"Cabbage red w apple pieces glass",58,84.8,0.8,0.3,10.2,1.7,0,2.2,"Vegetables"
"Carrot bunched raw",31,90.6,0.9,0.3,4.8,0.3,0,2.5,"Vegetables"
"Carrot bunched boiled",30,91,0.8,0.2,4.7,0.1,0,2.7,"Vegetables"
"Carrot winter raw",34,89.5,0.6,0.3,3.1,2.6,0,3.3,"Vegetables"
"Carrot winter boiled",34,89.8,0.6,0.3,5,0.6,0,3.1,"Vegetables"
"Tomato vine raw",22,94.2,0.7,0.5,2.8,0.2,0,1.2,"Vegetables"
"Tomato cherry raw",30,92,0.9,0.8,4,0,0,1.9,"Vegetables"
"Tomato beef raw",19,95,0.6,0.5,2.4,0,0,1.3,"Vegetables"
"Tomato beef boiled",22,94.2,0.7,0.5,3,0,0,1.3,"Vegetables"
"Tomato av raw",23,94.2,0.7,0.5,3,0.1,0,1.4,"Vegetables"
"Tomato av boiled",22,94.2,0.7,0.6,2.9,0,0,1.3,"Vegetables"
"Rocket raw",22,92.3,3.6,0.4,0,0,0,1.9,"Vegetables"
"Onion Welsh raw",31,91,1.5,0.4,4.1,0.1,0,2.4,"Vegetables"
"Onion Welsh boiled",26,92.2,1.2,0.3,2.1,1.4,0,2.3,"Vegetables"
"Cucumber w skin raw",13,96.7,0.7,0.4,1.3,0,0,0.6,"Vegetables"
"Sweet pepper yellow raw",25,92.7,0.7,0.2,3.9,0,0,2.5,"Vegetables"
"Sweet pepper yellow boiled",27,92.2,0.8,0.1,4.6,0,0,2.2,"Vegetables"
"Sweet pepper av raw",24,92.5,0.8,0.1,3.8,0,0,2.1,"Vegetables"
"Sweet pepper av boiled",26,92.5,0.8,0.1,3.8,0.6,0,1.9,"Vegetables"
"Cabbage red w apple pieces home-made",52,85.2,0.9,1.1,8,0.3,0,2.4,"Vegetables"
"Sweetcorn tinned",91,77.6,2.9,1.5,5.2,9.5,0,3.2,"Vegetables"
"Sweet pepper orange raw",28,92.2,0.8,0.3,4.7,0,0,1.7,"Vegetables"
"Vegetables for soup cooked",31,90.9,1.1,0.3,2.7,1.9,0,2.8,"Vegetables"
"Mustard leaves boiled",21,94,2,0.2,0.5,1.3,0,2,"Vegetables"
"Cabbage pak-choi cooked",17,95.6,1.6,0.2,0.8,0.9,0,1,"Vegetables"
"Parsnip raw",71,79.3,1.8,1.1,5.4,5.6,0,4.7,"Vegetables"
"Parsnip boiled",68,78.7,1.6,1.2,5.6,5.8,0,2.6,"Vegetables"
"Bitter gourd pods boiled",18,94,0.8,0.2,2,0.4,0,2,"Vegetables"
"Okra boiled",22,92.6,1.9,0.2,2,0,0,2.5,"Vegetables"
"Glasswort raw",14,92.2,0.7,0.2,1.1,0,0,2.5,"Vegetables"
"Asparagus green raw",28,92,3,0.1,2.8,0,0,2.1,"Vegetables"
